Meeting Date,325-350,350-375,375-400,400-425,425-450,450-475,475-500
9/16/2026,0.00%,66.10%,33.90%,0.00%,0.00%,0.00%,0.00%
10/28/2026,0.00%,48.50%,42.50%,9.00%,0.00%,0.00%,0.00%
12/9/2026,0.00%,27.30%,45.10%,23.60%,3.90%,0.00%,0.00%
1/27/2027,0.00%,22.30%,41.80%,27.60%,7.50%,0.70%,0.00%
3/17/2027,0.00%,16.20%,36.50%,31.50%,13.00%,2.60%,0.20%
4/28/2027,0.00%,14.80%,34.80%,31.90%,14.60%,3.50%,0.40%
6/9/2027,0.00%,13.30%,32.80%,32.20%,16.30%,4.60%,0.70%
7/28/2027,0.00%,13.30%,32.80%,32.20%,16.30%,4.60%,0.70%
9/15/2027,0.20%,13.60%,32.70%,32.00%,16.20%,4.50%,0.70%
10/27/2027,0.80%,14.50%,32.70%,31.20%,15.60%,4.40%,0.70%
12/8/2027,2.10%,16.20%,32.60%,29.80%,14.60%,4.00%,0.60%
